,question_text,question_topic
435,If I were to buy some anti aging serum do you know how much it would cost to ship it to my apartment in South Portland\ ME (Zip: 04106)? And also would you happen to have any overnight shipping options on that?,Shipping
436,Do you know if your stores always have the same prices as your website? If I ever need to return or exchange an item I end up purchasing would I be able to do so at a Victoria's Secret store instead of sending back to you through the mail?,Omnichannel
437,"Could you give me an estimated cost on shipping this protein powder (Item #031194) with your fastest shipping speed to Pittsburgh, PA? Will I be required to sign for an order from you when it is delivered?",Shipping
438,"Do you know if your stores always have the same prices as your website? If I ever need to return or exchange an item I end up purchasing, would I be able to do so at a Gap store instead of sending back to you through the mail?",Omnichannel
439,Do you know if your stores always have the same prices as your website? If I ever need to return or exchange an item I end up purchasing\ would I be able to do so at a Pottery Barn store instead of sending back to you through the mail?,Omnichannel
440,Do you know if your stores always have the same prices as your website? If I ever need to return or exchange an item I end up purchasing would I be able to do so at a Kohls store instead of sending back to you through the mail?,Omnichannel
441,Do you know if your stores always have the same prices as your website? If I ever need to return or exchange an item I end up purchasing would I be able to do so at an Office Depot store instead of sending back to you through the mail?,Omnichannel
442,"When would I receive the wireless on-ear headphones (JBLDUETBTBLK) if I order tomorrow and it's being sent to Portland, Maine? Do you have any expedited shipping options?",Shipping
443,"Do you know if your stores always have the same prices as your website? If I ever need to return or exchange an item I end up purchasing, would I be able to do so at a Lands End store instead of sending back to you through the mail?",Omnichannel
444,I'm seriously considering getting a knife set for my best friend but she lives far away and I'd just have it sent directly to her. If she didn't like it for some reason would she have everything she needed to make a return so she could return it to one of your stores? If you have a sale happening on your website would it be safe to assume it is also happening in your store locations?,Omnichannel
445,"I'm visiting Snohomish, WA (Zip: 98290) right now. Do you have any store locations within 30-40 miles of here? Also do you know if your store locations will accept returns of items originally bought online?",Omnichannel
446,"Do you know if your stores always have the same prices as your website? If I ever need to return or exchange an item I end up purchasing, would I be able to do so at a Neiman Marcus store instead of sending back to you through the mail?",Omnichannel
447,Do you know if your stores always have the same prices as your website? If I ever need to return or exchange an item I end up purchasing would I be able to do so at a Nordstrom store instead of sending back to you through the mail?,Omnichannel
448,"I'm visiting Chattanooga, TN (Zip: 37421) right now. Do you have any store locations within 30-40 miles of here? Also, do you know if your store locations will accept returns of items originally bought online?",Omnichannel
449,Do you know if your stores always have the same prices as your website? If I ever need to return or exchange an item I end up purchasing would I be able to do so at an Abercrombie store instead of sending back to you through the mail?,Omnichannel
450,"Could you give me an estimated cost on shipping the LuckyFit Whey Pro Powder #157724 with your fastest shipping speed to Pittsburgh, PA? Will I be required to sign for an order from you when it is delivered?",Shipping
451,Do you know if your stores always have the same prices as your website? If I ever need to return or exchange an item I end up purchasing would I be able to do so at a West Elm store instead of sending back to you through the mail?,Omnichannel
452,"I'm on your website looking at the Military Jacket item# 240375. Will this be priced the same in-store as it is online or will it be cheaper in the store without the shipping cost? Do you have the phone number of your Shelbyville Road Plaza store in Louisville, KY 40207 so I can call and see if they have it in stock in a size XXX right now?",Omnichannel
453,Could you tell me about when I'd receive the Executive Chair (BARC1453) if I order tomorrow and it's being shipped to Salt Lake City\ UT? Will I be able to track an order after it ships?,Shipping
454,"Do you know if your stores always have the same prices as your website? If I ever need to return or exchange an item I end up purchasing, would I be able to do so at a Lululemon store instead of sending back to you through the mail?",Omnichannel
455,"Can you tell me the hours of the GNC in Toledo, OH 43610? Also do you know if your stores usually have a herbs section like your website does?",Omnichannel
456,"I think I am going to purchase the Samsung Galaxy Tab A ASIN:B01MZ9ACXG for my girlfriend but we both work. If it is delivered when we aren't home, would it be left at the front door of our home or would a signature be required to get it? Do you have any expedited shipping speeds I may be able to choose?",Shipping
457,"Could you tell me about when I'd receive the sleeping bag 8513D if I order today with standard shipping and the shoes are being sent to Atlanta, GA 30301? Do you have a two or three day speed shipping option?",Shipping
458,"Could you give me an estimated cost on shipping the Boswellia (SW988) with your fastest shipping speed to Pittsburgh, PA 15225 ? Will I be required to sign for an order from you when it is delivered?",Shipping
459,"Do you know if your stores always have the same prices as your website? If I ever need to return or exchange an item I end up purchasing, would I be able to do so at a Room and Board store instead of sending back to you through the mail?",Omnichannel
460,"Could you give me an estimated cost on shipping the MRM Veggie Protein #609492722317 with your fastest shipping speed to Pittsburgh, PA? Will I be required to sign for an order from you when it is delivered?",Shipping
461,"Do you know if your stores always have the same prices as your website? If I ever need to return or exchange an item I end up purchasing, would I be able to do so at a Saks store instead of sending back to you through the mail?",Omnichannel
462,"Could you give me an estimated cost on shipping the BPI Sports whey protein product #BPI-02154 with your fastest shipping speed to Pittsburgh, PA? Will I be required to sign for an order from you when it is delivered?",Shipping
463,"I'm on your website looking at the cable classics bracelet style#B11278 S8. Will this be priced the same in-store as it is online or will it be cheaper in the store without the shipping cost? Do you have the phone number of your Copley Place store in Boston, MA 02116 so I can call and see if they have it in stock right now?",Omnichannel
464,"I think I am going to purchase this fire tablet for my girlfriend but we both work. If it is delivered when we aren't home, would it be left at the front door of our home or would a signature be required to get it? Do you have any expedited shipping speeds I may be able to choose?",Shipping
465,"Could you tell me about when I'd receive these flats 637159 if I order tomorrow and it's being shipped to Salt Lake City, UT? Do you have a two or three day shipping option?",Shipping
466,"Is there a step up from your standard shipping to something quicker, that's not overnight or next-day shipping? I'd like to get the flow cargo box sp16151 rather quickly, but I don't want to pay a fortune in delivery fees. On average, how long would it take for me to see this if I live in Radcliff, KY 40159?",Shipping
467,"If I were to buy the anti aging serum 1000302 do you know how much it would cost to ship it to my apartment in South Portland, ME (Zip: 04106)? And also would you happen to have any overnight shipping options on that?",Shipping
468,"Do you have next-day delivery? I'd like to get the Essentials Kit out to my sister tomorrow. What would the cost on regular shipping be if she lives in Radcliff, KY 40159?",Shipping
469,Do you know if your stores always have the same prices as your website? If I ever need to return or exchange an item I end up purchasing would I be able to do so at a Pier 1 store instead of sending back to you through the mail?,Omnichannel
470,"Do you know if your stores always have the same prices as your website? If I ever need to return or exchange an item I end up purchasing, would I be able to do so at an LL Bean store instead of sending back to you through the mail?",Omnichannel
471,"I'm seriously considering getting a knife set for my best friend but she lives far away and I'd just have it sent directly to her. If she didn't like it for some reason, would she have everything she needed to make a return so she could return it to one of your stores? If you have a sale happening on your website, would it be safe to assume it is also happening in your store locations?",Omnichannel
472,"Is there a Barnes and Noble near my home in Springfield, Missouri? Do you know if your stores typically have Movies and TV products like your website does?",Omnichannel
473,"Is there a step up from your standard shipping to something quicker that's not overnight or next-day shipping? I'd like to get the Massimo wing tips in a size 12E 8510664 rather quickly but I don't want to pay a fortune in delivery fees. On average how long would it take for me to see these if I live in Radcliff, KY 40159?",Shipping
474,"Would you be able to look up if the store on Mineral Springs Ave in North Providence, RI has this beveled wall mirror 204760422 in stock at this time? I'd like to check it out in person, if possible. And are there any other locations within 10 miles of that one, by chance? That one's a little inconvenient to get to for me, so I thought I'd check.",Omnichannel
475,"Is there a step up from your standard shipping to something quicker, that's not overnight or next-day shipping? I'd like to get the costume national oxfords 8473482 in a size 42 rather quickly, but I don't want to pay a fortune in delivery fees. On average, how long would it take for me to see these if I live in Radcliff, KY 40159?",Shipping
476,"Can you tell me the hours of the Vitamin Shoppe in Toledo, OH? Also, do you know if your stores usually have a herbs section like your website does?",Omnichannel
477,Do you know which boots have a shorter shaft height - the Eastland Daily Double Boots (item: 115507) or the Eastland High Fidelity Cap Toe Boots (item: 105352)? How would you describe the footbeds with both pairs of boots?,Product Comparison
478,"I'm looking to possibly order the Asos Skinny Chino Shorts In Burgundy (product code: 485711), but wanted to ask you if these shorts are stretchy or are they more like a fitted pair of shorts?",Product Specifications
479,"I'm looking to possibly order the Pure Cotton Chino Shorts (T177758M), but wanted to ask you if these shorts are stretchy or are they more like a fitted pair of shorts?",Product Specifications
480,I have a real quick question: What is the maximum fastener size on item #205647703?,Product Specifications
481,Could you tell me the exact measurements of Item: 2548610?,Product Specifications
482,Could you tell me if item #5-396754 works on both American and European knives?,Product Specifications
483,I'm looking to possibly order #1800870420030 but wanted to ask you if these shorts are stretchy or are they more like a fitted pair of shorts?,Product Specifications
484,I really think my coworker would like the Product Code: 96099 or the Product Code: 149570. Do you know if these are gluten-free? I believe she has an allergy or chooses to eat gluten-free.,Product Comparison
485,Could you tell me the exact measurements of the Item no: 019644?,Product Specifications
486,I'm looking to possibly order ITEM# MY00160 but wanted to ask you if these shorts are stretchy or are they more like a fitted pair of shorts?,Product Specifications
487,Could you tell me the exact measurements of Item: 1794341?,Product Specifications
488,I would like a face wash that foams. Does the EAU FRACHE DOUCEUR Micellar Cleansing Water or the ABSOLUE PRECIOUS PURE Sublime Cleansing Creamy Foam have any foaming properties?,Product Comparison
489,"Hey\ can you quickly tell me what the drop length on these earrings, E12823 88BSWGG, is?",Product Specifications
490,Would I be able to machine-wash this robe - AK-360-060?,Product Specifications
491,What materials are in the blend on this dress -  240001? It looks really soft!,Product Specifications
492,Do you know if this probiotic - 424539 - is a vegetarian supplement?,Product Specifications
493,Could you tell me if SKU:  2748143 works on both American and European knives?,Product Specifications
494,Which product contains more nitric oxide per serving: 766298012612 or the 665553224237?,Product Comparison
495,Which laptop has the better screen resolution- the Lenovo IdeaPad 100 - 15.6 inches - Laptop - Core i3-5020U - 4 GB RAM - 500 GB (HDD) - Windows 10 Home - Black - 80QQ002DUS by Lenovo or the Dell Inspiron - 15.6 inch - Laptop - Intel Core i7 - NVIDIA GeForce GTX 960M - 8GB RAM - 1TB HDD - Windows 10 Home - i7559-2512BLK by Dell?,Product Comparison
496,I'm looking to possibly order these shorts - 119028826 - but wanted to ask you if these shorts are stretchy or are they more like a fitted pair of shorts?,Product Specifications
497,Is there really any difference in how fast the USB Rapid Charger will charge my battery as opposed to the Wall Adapter?,Product Comparison
498,"I'm looking to possibly order these shorts, 147603, but wanted to ask you if these shorts are stretchy or are they more like a fitted pair of shorts?",Product Specifications
499,I want to order either of these watches: 849556 or the 821419. I'd prefer to get a watch with the larger face. Do you know which one that would be?,Product Comparison
500,"Between these tops: 143AC and the 168CD, which is shorter?",Product Comparison
501,"I'm looking to possibly order these shorts (300888A84) for my hubby, but wanted to ask you if these shorts are stretchy or are they more like a fitted pair of shorts?",Product Specifications
502,I was wondering if you could tell me which wireless headphones would be less bulky on my head- V300BTBLK or JBLDUETBTBLK?,Product Comparison
503,Could you tell me the exact measurements of this filing cabinent 606242?,Product Specifications
504,I would like a face wash that foams. Does the Rose Gentle Cleanser Face Cleanser or the Nutritious Radiant Vitality 2-in-1 Foam Cleanser have any foaming properties?,Product Comparison
505,"I'm looking to possibly order these shorts, F8705, but wanted to ask you if these shorts are stretchy or are they more like a fitted pair of shorts?",Product Specifications
506,I think I want to get the NOOK GlowLight Plus because I want a simple e-reader. How many digital books could it hold at one time?,Product Specifications
507,Could you tell me the difference in size between these two lamps: LARK2426 and ZIPC3503?,Product Comparison
508,Which product contains more nitric oxide per serving: BSN-00518 or the IRW-58486?,Product Comparison
509,I really like these earrings:  E398BHSG and the E380SMO. What types of stones are set into these?,Product Comparison
510,"I'm looking to possibly order the Short 9"" sku: 3729192 but wanted to ask you if these shorts are stretchy or are they more like a fitted pair of shorts?",Product Specifications
511,I'm looking to possibly order the Technical Fishing Shorts TA501054 but wanted to ask you if these shorts are stretchy or are they more like a fitted pair of shorts?,Product Specifications
512,"I'm looking to possibly order these shorts for my husband, 0400093470619, but wanted to ask you if these shorts are stretchy or are they more like a fitted pair of shorts?",Product Specifications
513,"I have a real quick question: What is the maximum fastener size on this pneumatic nailer, 20385?",Product Specifications
514,Which product contains more nitric oxide per serving: Swanson Ultra nitric oxide enhancer SWU341 or the Swanson Premium nitric oxide SW1615?,Product Comparison
515,I'm looking to possibly order these shorts NMF17_M3Q7W but wanted to ask you if these shorts are stretchy or are they more like a fitted pair of shorts?,Product Specifications
516,What are the lumen output ratings on the TYC Replacement Headlight #91427193 vs. the Replace Replacement Headlight #320363881?,Product Comparison
517,"Does the Confetti dot envelope wristlet 8aru1893 have a snap closure, or does it just flap shut?",Product Specifications
518,Could you tell me the exact measurements of the Reede Armoire 9505004?,Product Specifications
519,I'm looking to possibly order the Sonoma Goods for Life shorts 39401193 but wanted to ask you if these shorts are stretchy or are they more like a fitted pair of shorts?,Product Specifications
520,Any idea on whether the Under Armour UA Verge Mid and the Hoka One One Tor Tech Mid WP are waterproof or not? This is kind of a deal breaker for me.,Product Comparison
521,Do you know if the probiotics VS-2164/1076437 is a vegetarian supplement?,Product Specifications
522,I'm looking to possibly order these shorts 143452 but wanted to ask you if these shorts are stretchy or are they more like a fitted pair of shorts?,Product Specifications
523,Which laptop has the better screen resolution- the Lenovo  (B01LNOELBA) or the Acer (B01F1Z78GM)?,Product Comparison
524,Which product contains more nitric oxide per serving: COBRA LABS The Curse or EVLUTION NUTRITION ENGN?,Product Comparison
525,I'm looking to possibly order the Smartcare Flat Front Shorts #750719 but wanted to ask you if these shorts are stretchy or are they more like a fitted pair of shorts?,Product Specifications
526,"Does the envelope clutch STYLE NO. 86832 have a snap closure, or does it just flap shut?",Product Specifications
527,Could you tell me the exact measurements of this file cabinet 495800?,Product Specifications
528,"Im looking at these wipes, 1505585, and I was wondering if they have any texture to them to help remove difficult makeup?",Product Specifications
529,Any idea on whether the tundra boots 8379708 and the Merrell boots 8547934 are waterproof or not? This is kind of a deal breaker for me.,Product Comparison
530,"On average, how long does it take for you guys to process returns? I'm interested in the Regular Fit Jeans (T176523B ). If I need to send it back, I'd like to know what type of time frame I'm looking at. How is that processed--back onto the credit card or as store credit?",Returns & Refunds
531,"I was thinking of ordering the off-the-shoulder ribbed romper sizing 9/10, No 145658, but wanted to know when I would receive it in Glasgow, G3 7DA if I was to order later today? Do you offer tracking on all your orders?",Shipping
532,"On average, how long does it take for you guys to process returns? I'm interested in the ASOS Skinny Smart Trousers in Black (844360). If I need to send it back, I'd like to know what type of time frame I'm looking at. How is that processed back onto the credit card or as store credit?",Returns & Refunds
533,"On average, how long does it take for you guys to process returns? I'm interested in these stretch chinos item E1589. If I need to send them back, I'd like to know what type of time frame I'm looking at. How is that processed--back onto the credit card or as store credit?",Returns & Refunds
534,"On average, how long does it take for you guys to process returns? I'm interested in these slim twill pants STYLE NUMBER: 119027726. If I need to send them back, I'd like to know what type of time frame I'm looking at. How is that processed--back onto the credit card or as store credit?",Returns & Refunds
535,"On average, how long does it take for you guys to process returns? I'm interested in this portable speaker Item# JBLFLIP4BLKAM. If I need to send it back, I'd like to know what type of time frame I'm looking at. How is that processed--back onto the credit card or as store credit?",Returns & Refunds
536,"Let's say I get these high-heeled clogs, SKU 8846243, and they're not for me. How long will it take to process a return back on to my credit card? I've had it take weeks from other companies and I really just hate having money hanging in the balance like that.",Returns & Refunds
537,What's your return window policy if I was to buy a tablet and try it out? Do you charge re-stocking fees on returns?,Returns & Refunds
538,"I might like to buy this bendable liquid eyeliner, #122334 in black, for a friend of mine, who lives far from me. If she wanted to return or exchange that, would she need my information  such as a credit card number  to make that happen?",Returns & Refunds
539,"I was thinking of purchasing these creatine capsules, ITEM # :9Y-1005/1817691, but if I decide I'd rather not take them after seeing in person, could I return for a refund as long as it is unopened? Do you charge re-stocking fees on returns?",Returns & Refunds
540,"Let's say I get this flower arrangement, Product Code: 161111, and they're not what I was expecting. How long will it take to process a return back on to my credit card? I've had it take weeks from other companies and I really just hate having money hanging in the balance like that.",Returns & Refunds
541,"On average, how long does it take for you guys to process returns? I'm interested in these stove pipe pants, Style code: 0400089824969. If I need to send them back, I'd like to know what type of time frame I'm looking at. How is that processed--back onto the credit card or as store credit?",Returns & Refunds
542,Let's say I get the menthol ice tobacco cartridge and the flavor is not what I was expecting. How long will it take to process a return back on to my credit card? I've had it take weeks from other companies and I really just hate having money hanging in the balance like that.,Returns & Refunds
543,"On average, how long does it take for you guys to process returns? I'm interested in this all-in-one inkjet printer, Item: 2424932. If I need to send it back, I'd like to know what type of time frame I'm looking at. How is that processed--back onto the credit card or as store credit?",Returns & Refunds
544,"On average, how long does it take for you guys to process returns? I'm interested in this pub table, SKU: BUF1898. If I need to send it back, I'd like to know what type of time frame I'm looking at. How is that processed--back onto the credit card or as store credit?",Returns & Refunds
545,"The magic rabbit shoulder bag, style # pxru7363, really caught my eye on your website. Before I move ahead, I wanted to ask: are there any limitations to returning or exchanging something like that?",Returns & Refunds
546,"Let's say I get this cute pink crystal bracelet, #B356BHSG. How long will it take to process a return back on to my credit card? I've had it take weeks from other companies and I really just hate having money hanging in the balance like that.",Returns & Refunds
547,"Let's say I get this beautiful cable bracelet with diamonds, STYLE NUMBER: B11296D88ADIM. How long will it take to process a return back on to my credit card? I've had it take weeks from other companies and I really just hate having money hanging in the balance like that.",Returns & Refunds
548,"I was looking at this nonstick griddle, Item: 5-7049187, but I have a couple of questions first. Do you know if it's quicker to accept store credit over a cash refund when it comes to a potential return, or does it not really matter? And also, would there be any time limitations to returning an item like that one at all?",Returns & Refunds
549,"On average, how long does it take for you guys to process returns? I'm interested in these slim bootcut pants. If I need to send it back, I'd like to know what type of time frame I'm looking at. How is that processed--back onto the credit card or as store credit?",Returns & Refunds
550,"On average, how long does it take for you guys to process returns? I'm interested in these high-rise yoga pants, SKU# 3713468. If I need to send them back, I'd like to know what type of time frame I'm looking at. How is that processed--back onto the credit card or as store credit?",Returns & Refunds
551,"I have a question for you. If I order this button-down skirt, WEB ITEM: 135199, and my package is stolen, do you provide a replacement or will I have to go through the delivery provider for that? There have been a rash of package thefts in my neighborhood this winter and unfortuantely, I'm not home during the day to watch out for this.",Returns & Refunds
552,"I was thinking of purchasing these creatine capsules, Item #352419, but if I decide I'd rather not take them after seeing in person, could I return for a refund as long as it is unopened? Do you charge re-stocking fees on returns?",Returns & Refunds
553,"Let's say I get this carbon fiber spoiler, Item # 237417791, and it's not what I was expecting for my car. How long will it take to process a return back on to my credit card? I've had it take weeks from other companies and I really just hate having money hanging in the balance like that.",Returns & Refunds
554,"I think I'm going to purchase this infrared scent control shirt, Item #113KA, but if I don't like how it looks on me, would I be able to return to you for store credit to be used for a different shirt? Do you include return shipping labels with your orders?",Returns & Refunds
555,"I was thinking of purchasing these creatine capsules, Product Code: OPN-02133, but if I decide I'd rather not take them after seeing in person, could I return for a refund as long as it is unopened? Do you charge re-stocking fees on returns?",Returns & Refunds
556,"I was thinking of purchasing these creatine capsules, SKU #: 748927021356, but if I decide I'd rather not take them after seeing in person, could I return for a refund as long as it is unopened? Do you charge re-stocking fees on returns?",Returns & Refunds
557,"On average, how long does it take for you guys to process returns? I'm interested in these slim fit cotton chinos, Item #5208301. If I need to send it back, I'd like to know what type of time frame I'm looking at. How is that processed--back onto the credit card or as store credit?",Returns & Refunds
558,"On average, how long does it take for you guys to process returns? I'm interested in this unique oval cocktail table, Item Number: 386882. If I need to send it back, I'd like to know what type of time frame I'm looking at. How is that processed--back onto the credit card or as store credit?",Returns & Refunds
559,"I was thinking of purchasing these 800 mg. creatine capsules, Item #: 66243, but if I decide I'd rather not take them after seeing in person, could I return for a refund as long as it is unopened? Do you charge re-stocking fees on returns?",Returns & Refunds
560,"I was thinking of purchasing the EFX Sports Kre-Alkalyn EFX creatine capsules, but if I decide I'd rather not take them after seeing in person, could I return for a refund as long as it is unopened? Do you charge re-stocking fees on returns?",Returns & Refunds
561,"On average, how long does it take for you guys to process returns? I'm interested in this wireless color printer, Item # 896462. If I need to send it back, I'd like to know what type of time frame I'm looking at. How is that processed--back onto the credit card or as store credit?",Returns & Refunds
562,"I might like to buy the Double Wear Zero-Smudge Liquid Eyeliner in black for a friend of mine, who lives far from me. If she wanted to return or exchange that, would she need my information  such as a credit card number  to make that happen?",Returns & Refunds
563,"On average, how long does it take for you guys to process returns? I'm interested in these wool trousers, Item #474775A84. If I need to send it back, I'd like to know what type of time frame I'm looking at. How is that processed--back onto the credit card or as store credit?",Returns & Refunds
564,"I was looking at this griddle, SKU:  1122985, but I have a couple of questions first. Do you know if it's quicker to accept store credit over a cash refund when it comes to a potential return\ or does it not really matter? And also\ would there be any time limitations to returning an item like that one at all?",Returns & Refunds
565,"The STYLE NO. 57647 Edie shoulder bag really caught my eye on your website. Before I move ahead, I wanted to ask: are there any limitations to returning or exchanging something like that?",Returns & Refunds
566,"On average, how long does it take for you guys to process returns? I'm interested in these twill jogger pants, WEB ITEM: 147691. If I need to send it back, I'd like to know what type of time frame I'm looking at. How is that processed--back onto the credit card or as store credit?",Returns & Refunds
567,"On average, how long does it take for you guys to process returns? I'm interested in this demi bra #AK-323-813. If I need to send it back, I'd like to know what type of time frame I'm looking at. How is that processed--back onto the credit card or as store credit?",Returns & Refunds
568,"If I shop as a guest on your website and then make a purchase, would I still be OK to return what I bought? I don't plan on it, but I thought I'd check just to be safe!",Returns & Refunds
569,"On average, how long does it take for you guys to process returns? I'm interested in this pub table, Item: 1278332. If I need to send it back, I'd like to know what type of time frame I'm looking at. How is that processed--back onto the credit card or as store credit?",Returns & Refunds
570,"On average, how long does it take for you guys to process returns? I'm interested in these straight-leg pants, Product Code: 799151. If I need to send it back, I'd like to know what type of time frame I'm looking at. How is that processed--back onto the credit card or as store credit?",Returns & Refunds
571,"If I shop as a guest on your website and then make a purchase, would I still be OK to return what I bought? I don't plan on it, but I thought I'd check just to be safe!",Returns & Refunds
572,"On average, how long does it take for you guys to process returns? I'm interested in these hiking pants, Item #: TA280941. If I need to send it back, I'd like to know what type of time frame I'm looking at. How is that processed--back onto the credit card or as store credit?",Returns & Refunds
573,"Let's say I get this crochet sweater, ITEM #240930, and it's not for me. How long will it take to process a return back on to my credit card? I've had it take weeks from other companies and I really just hate having money hanging in the balance like that.",Returns & Refunds
574,"On average, how long does it take for you guys to process returns? I'm interested in this bar table, Item: 4383188. If I need to send it back, I'd like to know what type of time frame I'm looking at. How is that processed--back onto the credit card or as store credit?",Returns & Refunds
575,"On average, how long does it take for you guys to process returns? I'm interested in these cotton twill pants, ITEM# PT00061. If I need to send it back, I'd like to know what type of time frame I'm looking at. How is that processed--back onto the credit card or as store credit?",Returns & Refunds
576,"I was thinking of purchasing these creatine capsules, Item: SWU734, but if I decide I'd rather not take them after seeing in person, could I return for a refund as long as it is unopened? Do you charge re-stocking fees on returns?",Returns & Refunds
577,"I was thinking of purchasing these 1000 mg creatine capsules, Item #019462 but if I decide I'd rather not take them after seeing in person, could I return for a refund as long as it is unopened? Do you charge re-stocking fees on returns?",Returns & Refunds
578,"On average, how long does it take for you guys to process returns? I'm interested in these jegging tights pants, ASIN B00Y9FJCDI. If I need to send it back, I'd like to know what type of time frame I'm looking at. How is that processed--back onto the credit card or as store credit?",Returns & Refunds
579,"On average, how long does it take for you guys to process returns? I'm interested in these twill slim fit pants, #464336. If I need to send it back, I'd like to know what type of time frame I'm looking at. How is that processed--back onto the credit card or as store credit?",Returns & Refunds
580,"On average, how long does it take for you guys to process returns? I'm interested in these pleated pants, #184569. If I need to send it back, I'd like to know what type of time frame I'm looking at. How is that processed--back onto the credit card or as store credit?",Returns & Refunds
581,"On average, how long does it take for you guys to process returns? I'm interested in this bar table, Item: 3169920. If I need to send it back, I'd like to know what type of time frame I'm looking at. How is that processed--back onto the credit card or as store credit?",Returns & Refunds
582,"If I have a gift card that I use to make a purchase, but then wanted to make a return for a refund, would you just put the money on another gift card  or could I get a cash refund? I wasn't sure how that whole process works.",Returns & Refunds
583,Do you have any furry women's slippers or boots in a size 9?,Product Availability
584,Which jacket would you say is thicker and/or warmer- the Minimum Dawkins Wool Bomber Jacket (915510) or the Celio Faux Leather Flight Jacket (922502)?,Product Comparison
585,Which boys jacket would you say is thicker and/or warmer the Zipped Technical Jacket No T876151Y or the Stormwear Hooded Jacket No T879300X?,Product Comparison
586,I am looking at both the Baby ZZTote and the Turnlock baby bag in crossgrain leather. Are either of these lined with a durable material like cotton? That might be helpful.,Product Comparison
587,Could you tell me the difference in size between these table lamps (Item: 1180948) and (Item: WYF078278420547)?,Product Comparison
588,Could you tell me the difference in size between these table lamps (Item: 3136463) and (Item: 2660692)?,Product Comparison
589,I'm looking for a plain long-sleeve shirt for my brother. Do you have any in a bright color like yellow or orange so he could wear while running and in a large?,Product Availability
590,"I really like the RE-NUTRIV Ultra Radiance Concealer/Smoothing Base, but my complexion is very dark. Do you have this concealer in a dark tone at all?",Product Availability
591,Do you know offhand if there are liner layer that can be removed and washed in the anarok jacket (item 135075) or the twill jacket (item 127412)? Do these have an interior breastpocket at all? I like storing my gloves in there.,Product Comparison
592,I don't see your clove flavor anywhere on the website and was just wondering if you still sell this at all?,Product Availability
593,Could you tell me the difference in size between these table lamps (Item # 239058) and (Item # 743855)?,Product Comparison
594,Could you tell me the difference in size between the Roar + Rabbit Crackle Glaze Ceramic Table Lamp - Large and the Pillar Table Lamp - Marble?,Product Comparison
595,Could you tell me the difference in size between these lamps (SKU: BRSD3619) and (SKU: THRE3013)?,Product Comparison
596,I am looking at both the classic nylon stevie baby bag and the classic nylon harmony baby bag. Are either of these lined with a durable material like cotton? That might be helpful.,Product Comparison
597,Which boys jacket would you say is thicker and/or warmer- the Warmest down snorkel parka or the Junk Food Batman puffer jacket?,Product Comparison
598,Do you have any methyl B-12 supplements I can look at and possibly order?,Product Availability
599,I'm looking for a bluetooth speaker. Do you have something that lights up different colors as it plays music?,Product Availability
600,Which boys jacket would you say is thicker and/or warmer- the (iem E2126) or the (iitem B1908)?,Product Comparison
601,I'm looking for a plain long-sleeve shirt for my brother. Do you have any in a bright color like yellow or orange so he could wear while running and in a large?,Product Availability
602,Do you have any methyl B-12 supplements I can look at and possibly order?,Product Availability
603,Do you have any waterproof men's watches for around $100?,Product Availability
604,I'm looking to purchase a sleep shirt (AK-360-023) or (AK-358-142). Which shirt is longer in a size large?,Product Comparison
605,Which boys jacket would you say is thicker and/or warmer- (STYLE NUMBER: 112933206) or the (STYLE NUMBER: 106623566)?,Product Comparison
606,Which product contains more nitric oxide per serving: (ITEM # :IP-1062/1724780) or (ITEM # :	PES1011/2058071)?,Product Comparison
607,Id like to find a fragrance that is a little fruity. Do either (ITEM 1233139) or (ITEM 1619964) have a fruity scent to them?,Product Comparison
608,Is there any sort of additional chest support built into these active tops (Item #240933) or  (Item #236477)?,Product Comparison
609,Could you tell me the difference in size between the Reach Table Lamp or the Element Disc LED Table Lamps?,Product Comparison
610,Which men's jacket would you say is thicker and/or warmer- (NMF17_N3YL1) or (NMF17_N3XEQ)?,Product Comparison
611,Could you tell me the difference in size between the Sophia Crackled Table Lamp or the Alana Luster Glass Table Lamp?,Product Comparison
612,Which boys jacket would you say is thicker and/or warmer-(Item #: TA501070) or the (Item #: TA501072)?,Product Comparison
613,Im thinking about getting one of these Belt Sanders (Item # 339518) or (Item # 76366). Do you happen to know what the gear housing in made out of on each of those?,Product Comparison
614,I really like these tings (STYLE NUMBER: R12879D88ACIDI) and (STYLE NUMBER: R11028DSSAAMDI). What types of stones are set into these?,Product Comparison
615,Could you tell me which flashlight is more powerful in terms of brightness- the Coleman Divide 350L LED Flashlight or the Whetstone LED Flashlight?,Product Comparison
616,I'm looking to either buy the Samsung Galaxy Tab 4 NOOK or the NOOK Glowlight Plus. They're both around the same price so what is the main difference between the two devices?,Product Comparison
617,Do you have any methyl B-12 supplements I can look at and possibly order?,Product Availability
618,Do you have any methyl B-12 supplements I can look at and possibly order?,Product Availability
619,"I would love to know if you have any men's Rockport boots that are suitable for snow and ice, size 11, in black, in the $75 price area? My husband really needs some new boots and he's very picky.",Product Availability
620,Which boys jacket would you say is thicker and/or warmer- (Item #473787A8) or the (Item #444635A8)?,Product Comparison
621,Which boys jacket would you say is thicker and/or warmer- (Item #5199718) or (Item #5195009)?,Product Comparison
622,"A coworker of mine got an arrangement of flowers the other day that was potted in a coffee cup--it wasn't huge, but moderately sized. Do you have any bouquets like this? I really think my wife would love the coffee cup as a vase idea.",Product Availability
